commodity,year,annual_rainfall,price
Fuel (petrol-gasoline),2019,1100.16,109.01666666666667
Fuel (petrol-gasoline),2020,791.5,100.92
Kale,2020,791.5,6.0
Maize,2006,769.28,16.315833333333334
Maize,2007,692.64,12.385277777777778
Maize,2008,661.27,20.55988095238095
Maize,2009,655.41,26.12376190476191
Maize,2010,650.73,18.956071428571427
Maize,2011,626.92,31.154066666666665
Maize,2012,783.07,33.040166666666664
Maize,2013,740.69,31.460583333333336
Maize,2014,608.32,31.498333333333335
Maize,2015,778.31,28.634272727272723
Maize,2016,686.81,30.122055555555555
Maize,2017,1002.64,40.012708333333336
Maize,2018,806.64,27.955424242424243
Maize,2019,1100.16,31.85138888888889
Maize,2020,791.5,37.24538888888888
Maize (white),2006,769.28,709.3309375
Maize (white),2007,692.64,614.0794791666667
Maize (white),2008,661.27,971.5625
Maize (white),2009,655.41,1276.9609375
Maize (white),2010,650.73,903.9196875
Maize (white),2011,626.92,1535.1989236111112
Maize (white),2012,783.07,1611.1609943181818
Maize (white),2013,740.69,1510.9529924242424
Maize (white),2014,608.32,1524.5413162878788
Maize (white),2015,778.31,992.4629545454545
Maize (white),2016,686.81,1019.8081168831169
Maize (white),2017,1002.64,1375.9503571428572
Maize (white),2018,806.64,893.2227380952381
Maize (white),2019,1100.16,1124.002746031746
Maize (white),2020,791.5,967.2248096348096
Maize flour,2020,791.5,62.0
Meat (beef),2020,791.5,431.0
Meat (goat),2020,791.5,533.17
Milk (UHT),2020,791.5,27.0
"Milk (cow, pasteurized)",2006,769.28,22.5
"Milk (cow, pasteurized)",2007,692.64,21.083333333333332
"Milk (cow, pasteurized)",2008,661.27,24.916666666666668
"Milk (cow, pasteurized)",2009,655.41,28.5
"Milk (cow, pasteurized)",2010,650.73,27.75
"Milk (cow, pasteurized)",2011,626.92,30.5
"Milk (cow, pasteurized)",2012,783.07,37.166666666666664
"Milk (cow, pasteurized)",2013,740.69,43.416666666666664
"Milk (cow, pasteurized)",2014,608.32,44.33833333333333
"Milk (cow, pasteurized)",2015,778.31,47.583333333333336
"Milk (cow, pasteurized)",2016,686.81,49.0
"Milk (cow, pasteurized)",2017,1002.64,49.09818181818182
"Milk (cow, pasteurized)",2018,806.64,44.44416666666667
"Milk (cow, pasteurized)",2019,1100.16,44.25
"Milk (cow, pasteurized)",2020,791.5,45.068333333333335
Oil (vegetable),2006,769.28,120.25
Oil (vegetable),2007,692.64,134.58333333333334
Oil (vegetable),2008,661.27,177.0
Oil (vegetable),2009,655.41,135.83333333333334
Oil (vegetable),2010,650.73,155.83333333333334
Oil (vegetable),2011,626.92,218.58333333333334
Oil (vegetable),2012,783.07,238.0
Oil (vegetable),2013,740.69,217.5
Oil (vegetable),2014,608.32,208.52083333333334
Oil (vegetable),2015,778.31,192.83333333333334
Oil (vegetable),2016,686.81,179.63636363636363
Oil (vegetable),2017,1002.64,188.01454545454544
Oil (vegetable),2018,806.64,189.08916666666664
Oil (vegetable),2019,1100.16,185.43083333333334
Oil (vegetable),2020,791.5,171.20666666666668
Onions (red),2020,791.5,57.0
Potatoes (Irish),2006,769.28,1035.2767992424242
Potatoes (Irish),2007,692.64,979.5239583333333
Potatoes (Irish),2008,661.27,1183.8829166666667
Potatoes (Irish),2009,655.41,1491.0514583333334
Potatoes (Irish),2010,650.73,1376.71875
Potatoes (Irish),2011,626.92,1835.6997916666667
Potatoes (Irish),2012,783.07,2149.1580000000004
Potatoes (Irish),2013,740.69,1791.406003787879
Potatoes (Irish),2014,608.32,1848.2262500000002
Potatoes (Irish),2015,778.31,1874.881366666667
Potatoes (Irish),2016,686.81,2745.073606060606
Potatoes (Irish),2017,1002.64,2380.5625
Potatoes (Irish),2018,806.64,2611.9305757575758
Potatoes (Irish),2019,1100.16,2582.041666666667
Potatoes (Irish),2020,791.5,2009.8106666666667
Rice,2020,791.5,104.0
Sorghum,2006,769.28,1651.0611237373737
Sorghum,2007,692.64,1546.3954166666667
Sorghum,2008,661.27,2036.5448674242425
Sorghum,2009,655.41,2865.722291666667
Sorghum,2010,650.73,2695.2708333333335
Sorghum,2011,626.92,3338.441287878788
Sorghum,2012,783.07,3748.3651515151514
Sorghum,2013,740.69,3917.7291666666665
Sorghum,2014,608.32,4218.713958333334
Sorghum,2015,778.31,4005.1014999999998
Sorghum,2016,686.81,3793.222060606061
Sorghum,2017,1002.64,5376.078333333333
Sorghum,2018,806.64,4610.352166666667
Sorghum,2019,1100.16,4640.0625
Sorghum,2020,791.5,3784.4386666666664
Sugar,2020,791.5,107.0
Tomatoes,2020,791.5,58.0
Wheat flour,2020,791.5,62.0
